"state","id","Route.Stop","name","start_date_j","start_month","hour","start_time_s","start_time_c","start_time_cat","Route.Latitude","Route.Longitude","year","stop_des","wind","sky","noise","cars","moon","dir","species","min.1","min.2","min.3","min.4","min.5","min.6","TotalDetections","MaxDetections","st_id","BCR","site"
"FL","250003",9,"MOSSY HEAD",158,6,10,0.321439465303162,-0.946930129495106,"day",30.51931,-86.48091,2009,"",1,0,2,NA,"1",NA,"CWWI",1,2,2,2,1,2,10,2,"FL--250003",27,"FL--250003..9"
"FL","250009",1,"PORT ST JOE",156,6,23,-0.0871557427476583,0.996194698091746,"night",29.78091,-85.29991,2007,"",NA,0,0,NA,NA,NA,"CWWI",1,1,1,0,1,0,4,1,"FL--250009",27,"FL--250009..1"
"FL","250009",4,"PORT ST JOE",156,6,23,-0.0871557427476583,0.996194698091746,"night",29.78091,-85.29991,2007,"",NA,0,0,NA,NA,NA,"CWWI",1,1,0,0,0,1,3,1,"FL--250009",27,"FL--250009..4"
"FL","250013",2,"MICANOPY",158,6,11,0.258819045102521,-0.965925826289068,"day",29.54685,-82.26303,2007,"",NA,0,0,NA,NA,NA,"CWWI",1,0,0,0,0,0,1,1,"FL--250013",31,"FL--250013..2"
"FL","250013",4,"MICANOPY",143,5,20,-0.751839807478977,0.659345815100069,"dusk",29.54685,-82.26303,2013,"",1,0,2,NA,"1",NA,"CWWI",0,0,1,0,1,0,2,1,"FL--250013",31,"FL--250013..4"
"FL","250013",3,"MICANOPY",143,5,20,-0.751839807478977,0.659345815100069,"dusk",29.54685,-82.26303,2013,"",1,0,1,NA,"1",NA,"CWWI",1,0,0,2,0,0,3,2,"FL--250013",31,"FL--250013..3"
"FL","250013",2,"MICANOPY",143,5,20,-0.751839807478977,0.659345815100069,"dusk",29.54685,-82.26303,2013,"",1,0,1,NA,"1",NA,"CWWI",1,1,1,2,2,2,9,2,"FL--250013",31,"FL--250013..2"
"FL","250013",1,"MICANOPY",143,5,20,-0.751839807478977,0.659345815100069,"dusk",29.54685,-82.26303,2013,"",1,0,1,NA,"1",NA,"CWWI",3,2,2,2,3,3,15,3,"FL--250013",31,"FL--250013..1"
"FL","250014",10,"ROMEO",141,5,20,-0.743144825477394,0.669130606358858,"dusk",29.12899,-82.31324,2013,"",1,0,0,NA,"1",NA,"CWWI",2,2,2,2,2,2,12,2,"FL--250014",31,"FL--250014..10"
"FL","250014",3,"ROMEO",162,6,21,-0.707106781186548,0.707106781186547,"dusk",29.11925,-82.25616,2008,"",NA,1,1,NA,NA,NA,"CWWI",1,0,1,1,1,1,5,1,"FL--250014",31,"FL--250014..3"
"FL","250014",6,"ROMEO",162,6,21,-0.707106781186548,0.707106781186547,"dusk",29.1203,-82.28292,2008,"",NA,1,0,NA,NA,NA,"CWWI",1,1,1,1,0,1,5,1,"FL--250014",31,"FL--250014..6"
"FL","250014",1,"ROMEO",157,6,9,0.625923472184059,-0.779884483092882,"dawn",29.11507,-82.23678,2009,"",1,1,1,NA,"1",NA,"CWWI",2,1,1,0,1,2,7,2,"FL--250014",31,"FL--250014..1"
"FL","250014",2,"ROMEO",162,6,21,-0.707106781186548,0.707106781186547,"dusk",29.11715,-82.24668,2008,"",NA,1,1,NA,NA,NA,"CWWI",1,0,1,1,0,1,4,1,"FL--250014",31,"FL--250014..2"
"FL","250014",8,"ROMEO",157,6,9,0.625923472184059,-0.779884483092882,"dawn",29.12544,-82.29684,2009,"",0,2,1,NA,"0",NA,"CWWI",1,1,1,1,0,1,5,1,"FL--250014",31,"FL--250014..8"
"FL","250014",10,"ROMEO",146,5,9,0.555570233019602,-0.831469612302545,"dawn",29.12899,-82.31324,2010,"",1,0,0,NA,"1",NA,"CWWI",1,1,1,1,2,2,8,2,"FL--250014",31,"FL--250014..10"
"FL","250014",6,"ROMEO",157,6,9,0.625923472184059,-0.779884483092882,"dawn",29.1203,-82.28292,2009,"",0,1,1,NA,"0",NA,"CWWI",1,0,1,1,1,1,5,1,"FL--250014",31,"FL--250014..6"
"FL","250014",7,"ROMEO",162,6,21,-0.707106781186548,0.707106781186547,"dusk",29.12023,-82.29258,2008,"",NA,1,0,NA,NA,NA,"CWWI",0,0,1,0,0,0,1,1,"FL--250014",31,"FL--250014..7"
"FL","250014",10,"ROMEO",157,6,9,0.625923472184059,-0.779884483092882,"dawn",29.12899,-82.31324,2009,"",1,2,1,NA,"1",NA,"CWWI",1,1,1,1,1,1,6,1,"FL--250014",31,"FL--250014..10"
"FL","250014",2,"ROMEO",157,6,9,0.625923472184059,-0.779884483092882,"dawn",29.11715,-82.24668,2009,"",1,1,1,NA,"1",NA,"CWWI",0,0,0,0,1,0,1,1,"FL--250014",31,"FL--250014..2"
"FL","250014",2,"ROMEO",141,5,20,-0.743144825477394,0.669130606358858,"dusk",29.11715,-82.24668,2013,"",0,2,2,NA,"0",NA,"CWWI",0,1,1,1,0,0,3,1,"FL--250014",31,"FL--250014..2"
"FL","250014",7,"ROMEO",146,5,9,0.555570233019602,-0.831469612302545,"dawn",29.12023,-82.29258,2010,"",1,0,0,NA,"1",NA,"CWWI",0,1,1,1,1,1,5,1,"FL--250014",31,"FL--250014..7"
"FL","250014",10,"ROMEO",162,6,21,-0.707106781186548,0.707106781186547,"dusk",29.12899,-82.31324,2008,"",NA,2,1,NA,NA,NA,"CWWI",1,1,0,0,0,0,2,1,"FL--250014",31,"FL--250014..10"
"FL","250014",5,"ROMEO",162,6,21,-0.707106781186548,0.707106781186547,"dusk",29.12004,-82.27292,2008,"",NA,1,1,NA,NA,NA,"CWWI",1,1,1,1,0,1,5,1,"FL--250014",31,"FL--250014..5"
"FL","250014",1,"ROMEO",146,5,9,0.555570233019602,-0.831469612302545,"dawn",29.11507,-82.23678,2010,"",1,0,1,NA,"1",NA,"CWWI",1,0,1,1,1,1,5,1,"FL--250014",31,"FL--250014..1"
"FL","250014",8,"ROMEO",146,5,9,0.555570233019602,-0.831469612302545,"dawn",29.12544,-82.29684,2010,"",1,0,0,NA,"1",NA,"CWWI",1,1,1,1,1,1,6,1,"FL--250014",31,"FL--250014..8"
"FL","250014",7,"ROMEO",157,6,9,0.625923472184059,-0.779884483092882,"dawn",29.12023,-82.29258,2009,"",0,2,1,NA,"0",NA,"CWWI",0,0,0,0,0,1,1,1,"FL--250014",31,"FL--250014..7"
"FL","250014",1,"ROMEO",162,6,21,-0.707106781186548,0.707106781186547,"dusk",29.11507,-82.23678,2008,"",NA,1,1,NA,NA,NA,"CWWI",1,1,1,0,1,1,5,1,"FL--250014",31,"FL--250014..1"
"FL","250014",5,"ROMEO",146,5,9,0.555570233019602,-0.831469612302545,"dawn",29.12004,-82.27292,2010,"",1,0,0,NA,"1",NA,"CWWI",1,1,1,1,0,0,4,1,"FL--250014",31,"FL--250014..5"
"FL","250014",5,"ROMEO",137,5,10,0.5,-0.866025403784439,"day",29.12004,-82.27292,2011,"",1,0,0,NA,"1",NA,"CWWI",1,1,1,1,1,1,6,1,"FL--250014",31,"FL--250014..5"
"FL","250014",10,"ROMEO",137,5,10,0.5,-0.866025403784439,"day",29.12899,-82.31324,2011,"",1,0,0,NA,"1",NA,"CWWI",2,3,3,3,3,3,17,3,"FL--250014",31,"FL--250014..10"
"FL","250014",8,"ROMEO",162,6,21,-0.707106781186548,0.707106781186547,"dusk",29.12544,-82.29684,2008,"",NA,2,0,NA,NA,NA,"CWWI",0,0,0,0,1,0,1,1,"FL--250014",31,"FL--250014..8"
"FL","250014",9,"ROMEO",137,5,10,0.5,-0.866025403784439,"day",29.12882,-82.30314,2011,"",1,0,0,NA,"1",NA,"CWWI",1,1,1,1,1,1,6,1,"FL--250014",31,"FL--250014..9"
"FL","250014",1,"ROMEO",137,5,10,0.5,-0.866025403784439,"day",29.11507,-82.23678,2011,"",1,0,1,NA,"1",NA,"CWWI",1,1,1,1,1,1,6,1,"FL--250014",31,"FL--250014..1"
"FL","250015",6,"FT GADSDEN",156,6,5,0.965925826289068,0.258819045102521,"dawn",29.99798,-84.97767,2009,"",NA,1,0,NA,NA,NA,"CWWI",1,2,1,0,0,0,4,2,"FL--250015",27,"FL--250015..6"
"FL","250015",6,"FT GADSDEN",103,4,5,0.965925826289068,0.258819045102521,"dawn",29.99798,-84.97767,2017,"",1,0,2,NA,"1",NA,"CWWI",0,0,0,2,2,2,6,2,"FL--250015",27,"FL--250015..6"
"FL","250015",5,"FT GADSDEN",135,5,5,0.971342069813261,0.237685892326173,"dawn",29.99798,-84.97767,2014,"",1,0,0,NA,"1",NA,"CWWI",2,2,1,1,2,2,10,2,"FL--250015",27,"FL--250015..5"
"FL","250015",9,"FT GADSDEN",133,5,4,0.953716950748227,0.300705799504273,"dawn",29.99798,-84.97767,2020,"",1,0,2,NA,"1",NA,"CWWI",2,1,1,2,1,0,7,2,"FL--250015",27,"FL--250015..9"
"FL","250015",7,"FT GADSDEN",110,4,5,0.965925826289068,0.258819045102521,"dawn",29.99798,-84.97767,2019,"",1,0,0,NA,"1",NA,"CWWI",3,3,3,2,2,1,14,3,"FL--250015",27,"FL--250015..7"
"FL","250015",2,"FT GADSDEN",117,4,4,0.923879532511287,0.38268343236509,"dawn",29.99798,-84.97767,2016,"",1,0,1,NA,"1",NA,"CWWI",1,1,1,1,1,2,7,2,"FL--250015",27,"FL--250015..2"
"FL","250015",5,"FT GADSDEN",103,4,5,0.965925826289068,0.258819045102521,"dawn",29.99798,-84.97767,2017,"",1,0,0,NA,"1",NA,"CWWI",3,3,3,3,3,3,18,3,"FL--250015",27,"FL--250015..5"
"FL","250015",1,"FT GADSDEN",133,5,4,0.953716950748227,0.300705799504273,"dawn",29.99798,-84.97767,2020,"",1,0,1,NA,"1",NA,"CWWI",2,2,2,2,2,2,12,2,"FL--250015",27,"FL--250015..1"
"FL","250015",2,"FT GADSDEN",148,5,4,0.953716950748227,0.300705799504273,"dawn",29.99798,-84.97767,2010,"",NA,0,1,NA,NA,NA,"CWWI",2,1,1,2,0,1,7,2,"FL--250015",27,"FL--250015..2"
"FL","250015",6,"FT GADSDEN",110,4,5,0.965925826289068,0.258819045102521,"dawn",29.99798,-84.97767,2019,"",1,0,0,NA,"1",NA,"CWWI",1,1,1,0,0,0,3,1,"FL--250015",27,"FL--250015..6"
"FL","250015",1,"FT GADSDEN",117,4,4,0.923879532511287,0.38268343236509,"dawn",29.99798,-84.97767,2016,"",1,0,0,NA,"1",NA,"CWWI",1,1,1,1,2,2,8,2,"FL--250015",27,"FL--250015..1"
"FL","250015",5,"FT GADSDEN",110,4,5,0.965925826289068,0.258819045102521,"dawn",29.99798,-84.97767,2019,"",1,0,0,NA,"1",NA,"CWWI",2,2,2,2,2,1,11,2,"FL--250015",27,"FL--250015..5"
"FL","250015",7,"FT GADSDEN",116,4,5,0.98078528040323,0.195090322016128,"dawn",29.99798,-84.97767,2013,"",1,0,2,NA,"1",NA,"CWWI",3,3,3,3,0,3,15,3,"FL--250015",27,"FL--250015..7"
"FL","250015",5,"FT GADSDEN",166,6,5,0.976296007119933,0.216439613938103,"dawn",29.99798,-84.97767,2011,"",NA,2,0,NA,NA,NA,"CWWI",2,3,3,2,2,2,14,3,"FL--250015",27,"FL--250015..5"
"FL","250015",4,"FT GADSDEN",103,4,5,0.965925826289068,0.258819045102521,"dawn",29.99798,-84.97767,2017,"",1,0,1,NA,"1",NA,"CWWI",2,1,2,2,2,2,11,2,"FL--250015",27,"FL--250015..4"
"FL","250015",5,"FT GADSDEN",156,6,5,0.965925826289068,0.258819045102521,"dawn",29.99798,-84.97767,2009,"",NA,1,1,NA,NA,NA,"CWWI",1,1,1,0,0,1,4,1,"FL--250015",27,"FL--250015..5"
"FL","250015",1,"FT GADSDEN",116,4,5,0.98078528040323,0.195090322016128,"dawn",29.99798,-84.97767,2013,"",1,0,1,NA,"1",NA,"CWWI",3,3,3,3,3,3,18,3,"FL--250015",27,"FL--250015..1"
"FL","250015",1,"FT GADSDEN",148,5,4,0.953716950748227,0.300705799504273,"dawn",29.99798,-84.97767,2010,"",NA,0,0,NA,NA,NA,"CWWI",0,0,2,2,2,3,9,3,"FL--250015",27,"FL--250015..1"
"FL","250015",1,"FT GADSDEN",156,6,5,0.965925826289068,0.258819045102521,"dawn",29.99798,-84.97767,2009,"",NA,1,0,NA,NA,NA,"CWWI",1,1,1,1,1,1,6,1,"FL--250015",27,"FL--250015..1"
"FL","250015",10,"FT GADSDEN",133,5,4,0.953716950748227,0.300705799504273,"dawn",29.99798,-84.97767,2020,"",1,0,1,NA,"1",NA,"CWWI",3,3,3,4,3,3,19,4,"FL--250015",27,"FL--250015..10"
"FL","250015",6,"FT GADSDEN",166,6,5,0.976296007119933,0.216439613938103,"dawn",29.99798,-84.97767,2011,"",NA,1,1,NA,NA,NA,"CWWI",3,3,2,2,3,2,15,3,"FL--250015",27,"FL--250015..6"
"FL","250015",9,"FT GADSDEN",116,4,5,0.98078528040323,0.195090322016128,"dawn",29.99798,-84.97767,2013,"",1,0,1,NA,"1",NA,"CWWI",3,3,0,0,2,2,10,3,"FL--250015",27,"FL--250015..9"
"FL","250015",3,"FT GADSDEN",135,5,5,0.971342069813261,0.237685892326173,"dawn",29.99798,-84.97767,2014,"",1,0,1,NA,"1",NA,"CWWI",1,1,2,2,1,1,8,2,"FL--250015",27,"FL--250015..3"
"FL","250015",5,"FT GADSDEN",133,5,4,0.953716950748227,0.300705799504273,"dawn",29.99798,-84.97767,2020,"",1,1,2,NA,"1",NA,"CWWI",3,3,3,4,4,4,21,4,"FL--250015",27,"FL--250015..5"
"FL","250015",6,"FT GADSDEN",133,5,4,0.953716950748227,0.300705799504273,"dawn",29.99798,-84.97767,2020,"",1,0,0,NA,"1",NA,"CWWI",4,4,4,4,4,4,24,4,"FL--250015",27,"FL--250015..6"
"FL","250015",4,"FT GADSDEN",166,6,5,0.976296007119933,0.216439613938103,"dawn",29.99798,-84.97767,2011,"",NA,2,0,NA,NA,NA,"CWWI",1,1,1,1,1,0,5,1,"FL--250015",27,"FL--250015..4"
